date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:40	55220/55220	---M--	200	added ('OK')	application/font-woff	etag:%225e8b2d92-d7b4%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/et-line.woff	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/et-line.woff	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:40	32536/32536	---M--	200	added ('OK')	application/x-font-ttf	etag:%225e8b2d92-7f18%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/et-line.ttf	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/et-line.ttf	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:40	175537/175537	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e8b2d92-2adb1%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/et-line.svg	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/et-line.svg	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:41	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225e8b2d92-1c1cc%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900d41d.eot	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:41	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225e8b2d92-1c1cc%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.eot	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:41	44068/44068	---M--	200	added ('OK')	application/font-woff2	etag:%225e8b2d92-ac24%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.woff2	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:41	55484/55484	---M--	200	added ('OK')	application/font-woff	etag:%225e8b2d92-d8bc%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.woff	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:42	114928/114928	---M--	200	added ('OK')	application/x-font-ttf	etag:%225e8b2d92-1c0f0%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-solid-900.ttf	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:42	99704/99704	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225e8b2d92-18578%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-brands-400.eot	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
17:01:43	55144/55144	---M--	200	added ('OK')	application/font-woff2	etag:%225e8b2d92-d768%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/fonts/fa-brands-400.woff2	(from https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1)
